caseid,gend_gendobs,finance_finpast,libcpre_self,ineq_incgap,effic_saystd,effic_complicrev,guarpr_self,trustgov_trustgrev,relig_pray,dem_birthyr,dem_marital,zipcode
3453,-1,2,4,1,3,-1,4,-1,1,1960,6,38911
4222,-1,1,4,1,5,-1,7,-1,1,1955,1,79244
4117,-1,2,6,1,-1,5,4,5,5,1963,4,88915
1212,2,2,-2,1,1,-1,1,-1,1,1954,1,57903
1720,1,2,6,1,4,-1,2,-1,2,1960,6,29898
4769,-1,1,6,1,-1,2,6,5,4,1983,6,78678
5817,-1,1,4,1,3,-1,1,-1,4,1942,1,24766
4459,-1,2,3,1,1,-1,4,-1,1,1957,5,72696
6545,-1,1,6,1,4,-1,6,-1,2,1986,6,92276
5346,-1,2,4,1,-1,4,4,4,1,1953,4,18757
4907,-1,2,5,2,4,-1,7,-1,1,-9,3,49989
4255,-1,2,2,1,-1,3,2,2,2,1949,1,10146
378,2,3,3,1,5,-1,3,-1,3,1945,4,93015
4003,-1,2,5,3,1,-1,5,-1,4,1957,4,85937
4198,-1,2,2,2,4,-1,3,-1,1,1992,1,86829
6294,-1,1,5,1,5,-1,3,-1,1,1989,1,66125
1634,1,3,1,1,-1,2,5,5,2,1971,1,82644
5652,-1,2,4,1,2,-1,5,-1,1,1982,1,53563
728,1,2,6,1,1,-1,7,-1,4,1957,1,17103
5977,-1,1,3,1,-1,2,5,4,4,1953,4,50806
5770,-1,1,4,1,-1,3,4,2,1,1953,4,53939
4365,-1,1,6,3,1,-1,2,-1,1,1940,3,79733
4277,-1,2,4,1,-1,4,6,4,1,1941,1,13115
70,2,2,6,1,4,-1,1,-1,4,1957,6,45624
5848,-1,2,5,1,-1,4,6,4,3,1962,1,24820
3369,-1,2,4,1,3,-1,3,-1,3,1959,4,66849
3158,-1,1,3,2,-1,2,3,3,4,1964,1,68334
4042,-1,2,4,1,-1,4,7,4,5,1980,4,82015
6334,-1,1,4,1,3,-1,4,-1,4,1966,1,82696
3986,-1,2,5,1,1,-1,4,-1,2,1949,6,87249
1671,1,1,4,1,2,-1,6,-1,4,1992,6,53629
3639,-1,2,4,3,2,-1,6,-1,2,1956,4,61809
